,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
71,config_14,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,24,10,LSTM,1,24,8,1.81339430809021,1.785697340965271,1.7480251789093018,2.2866744995117188,2.1954686641693115,2.140338182449341
72,config_14,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,24,10,LSTM,1,24,8,1.6881914138793945,1.7927650213241577,1.4153056144714355,2.1890695095062256,2.167997121810913,1.80466628074646
73,config_14,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,24,10,LSTM,1,24,8,1.7131776809692383,1.4694877862930298,1.470686674118042,2.2290139198303223,1.876954436302185,1.8312567472457886
74,config_14,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,24,10,LSTM,1,24,8,1.6328201293945312,1.4052278995513916,1.5635616779327393,2.090754985809326,1.7996854782104492,1.903689980506897
75,config_15,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.394701134571326,1.5905586850407178,1.857259340054096,1.8047998699459171,2.033233571554403,2.2828298920541115
76,config_15,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.3810873407995243,1.5968681486726082,1.5800562650060785,1.79528158841414,2.0262872879859932,1.9868776512872839
77,config_15,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.323371324863547,1.6866882240829346,1.2475491217522567,1.745076249355103,2.084844842058121,1.637329202126593
78,config_15,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.3040989589551213,1.3778021960133842,1.292953721437995,1.7249678435232736,1.7749521369729113,1.6608626085299807
79,config_15,,,gbdt,0.8,0.05,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.2282174889872648,1.2078304104095996,1.4637498675532954,1.6227495039160411,1.6095072514156739,1.8144529252048094
80,config_16,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,3.0,24,10,WaveNet,1,24,8,1.6890571117401123,1.639479637145996,1.913054347038269,2.1634881496429443,2.0251030921936035,2.28196382522583
81,config_16,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,3.0,24,10,WaveNet,1,24,8,1.6527479887008667,1.6556928157806396,1.618219017982483,2.142453670501709,2.065131425857544,2.011997699737549
82,config_16,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,3.0,24,10,WaveNet,1,24,8,1.6468299627304077,1.7229454517364502,1.364753007888794,2.1278507709503174,2.0831384658813477,1.7405089139938354
83,config_16,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,3.0,24,10,WaveNet,1,24,8,1.6067876815795898,1.4110684394836426,1.4092315435409546,2.0886552333831787,1.7903062105178833,1.7488293647766113
84,config_16,,,,,,,,,,,,,,,,,,,0,32.0,0.001,8.0,3.0,24,10,WaveNet,1,24,8,1.5149236917495728,1.3093681335449219,1.5452696084976196,1.9480526447296143,1.6882020235061646,1.8497135639190674
85,config_17,,,gbdt,0.8,0.05,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.3776092587024904,1.5972307249345064,1.8739493882709786,1.780664198333684,2.0402381432650682,2.310049533476031
86,config_17,,,gbdt,0.8,0.05,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.362166032472164,1.6127106526389436,1.5838513031583161,1.765281396431639,2.0369566701535673,1.9935222850690035
87,config_17,,,gbdt,0.8,0.05,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.3085620378062548,1.6845910471671373,1.2645609393483985,1.7220778762114886,2.0828825995108917,1.6591374662092224
88,config_17,,,gbdt,0.8,0.05,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.2827446194505674,1.3974256722232203,1.3433914661393778,1.6979457027005822,1.7994788186247301,1.7141861746641383
89,config_17,,,gbdt,0.8,0.05,12.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.2118578260094781,1.2151469438362903,1.4941449940643845,1.5957450021054338,1.6220918340945631,1.852402488180267
90,config_18,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.2402191417352282,1.5999319806041115,1.8570451312142615,1.6167600151534673,2.0588867035630574,2.3160994844117666
91,config_18,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.2251407413223472,1.6063863126409323,1.575754505500407,1.6024345215735376,2.045181118648224,1.9973525032370822
92,config_18,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.1784648471589316,1.6794063488823627,1.2804678267010092,1.5653944222924372,2.0949458509101673,1.679622513618616
93,config_18,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.1579941497415565,1.4081574721753705,1.369771807595913,1.547005617805797,1.8177022180690534,1.7610117083140417
94,config_18,,,gbdt,0.8,0.1,6.0,100.0,16.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.090956166037127,1.2344967123364095,1.5095117617174505,1.4545219429308072,1.64303505918611,1.8778221762599896
95,config_19,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.0956275634504156,1.5926130873855133,1.8432705099658582,1.437677621280236,2.052657307648475,2.296659508221758
96,config_19,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.07330769615496,1.5918766969451745,1.574002273264002,1.4170280582574017,2.0357385774847123,1.995182012143165
97,config_19,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.0174899454962487,1.690767670198593,1.257644116748771,1.3587940158509262,2.1092004188226077,1.6514563074900566
98,config_19,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,1.0231767002150511,1.4041888664050786,1.3058629890140576,1.3728755270312631,1.816119892920179,1.6923860480134125
99,config_19,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,1,0.9610426413162035,1.2233770940783308,1.4864124424925969,1.287211644308286,1.6352845524078679,1.8452004518470413
100,config_20,,,,,,,,,,,,,,32.0,0.005,,,,0,,,,,24,10,MCCNN,1,24,8,1.655469298362732,1.6615355014801025,1.9588487148284912,2.097599506378174,2.073946475982666,2.3678431510925293
101,config_20,,,,,,,,,,,,,,32.0,0.005,,,,0,,,,,24,10,MCCNN,1,24,8,1.6384934186935425,1.6711256504058838,1.5997610092163086,2.106738328933716,2.094555139541626,2.0072860717773438
102,config_20,,,,,,,,,,,,,,32.0,0.005,,,,0,,,,,24,10,MCCNN,1,24,8,1.5614192485809326,1.739989161491394,1.3030468225479126,2.076493978500366,2.1318132877349854,1.7127385139465332
103,config_20,,,,,,,,,,,,,,32.0,0.005,,,,0,,,,,24,10,MCCNN,1,24,8,1.5904148817062378,1.4195873737335205,1.4534457921981812,2.154224157333374,1.8324120044708252,1.911001205444336
104,config_20,,,,,,,,,,,,,,32.0,0.005,,,,0,,,,,24,10,MCCNN,1,24,8,1.4368038177490234,1.326061725616455,1.5049717426300049,1.8622710704803467,1.7276326417922974,1.827038049697876
105,config_21,,,gbdt,0.8,0.1,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,0.6006182097620089,1.646043357768342,1.8827059093272465,0.7995735160911868,2.122930946401183,2.3819569352798005
106,config_21,,,gbdt,0.8,0.1,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,0.590244507181083,1.6486254064931196,1.6060578616411532,0.7861373087273904,2.1089724041543465,2.0466355161906673
107,config_21,,,gbdt,0.8,0.1,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,0.5725838961965289,1.7030822224550914,1.340722930831841,0.766982009217187,2.148415123976687,1.7494932230168116
108,config_21,,,gbdt,0.8,0.1,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,0.5646518663090527,1.4691420421139527,1.43174267405084,0.7606789492725204,1.8986159586327198,1.8671217886851061
109,config_21,,,gbdt,0.8,0.1,12.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,0.5273693446381601,1.2798628670286123,1.5543941703624333,0.7071536219193978,1.6993393696900523,1.954813310557921
110,config_22,,,gbdt,0.8,0.05,6.0,200.0,32.0,0.1,0.8,,,,,,,,,0,,,,,24,10,LGB,1,24,2,1.0986565426842911,1.6071592193971118,1.8574852611639525,1.4432349137403744,2.0698409926394827,2.324947763693891
