,model,DLSTM__batch_size,DLSTM__lr,LGB__boosting_type,LGB__colsample_bytree,LGB__learning_rate,LGB__max_depth,LGB__n_estimators,LGB__num_leaves,LGB__reg_alpha,LGB__subsample,LR__fit_intercept,LSTM__batch_size,LSTM__lr,MCCNN__batch_size,MCCNN__lr,MHCNN__batch_size,MHCNN__lr,MLP__hidden_layer_sizes,N_freqs,WaveNet__batch_size,WaveNet__lr,WaveNet__n_filters,WaveNet__n_residual_blocks,n_targets,nterms,regr,stride,win_size,win_smooth,MAE_train,MAE_valid,MAE_test,RMSE_train,RMSE_valid,RMSE_test
60,config_12,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,1,84.88735961914062,80.5855484008789,210.94866943359375,119.08898162841797,110.23564147949219,271.3175354003906
61,config_12,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,1,82.19701385498047,111.44384765625,192.98648071289062,116.3575668334961,161.71690368652344,244.3559112548828
62,config_12,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,1,78.53497314453125,119.20068359375,179.59136962890625,119.28729248046875,149.87339782714844,238.21751403808594
63,config_12,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,1,69.39700317382812,93.56993103027344,259.9390869140625,103.76805877685547,136.52735900878906,314.6104736328125
64,config_12,,,,,,,,,,,,,,32.0,0.001,,,,0,,,,,120,10,MCCNN,1,120,1,62.468074798583984,146.42100524902344,251.14495849609375,92.94547271728516,211.85072326660156,309.2416076660156
65,config_13,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,129.73388671875,68.89833068847656,64.96297454833984,179.35147094726562,111.37118530273438,94.4357681274414
66,config_13,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,130.4871368408203,56.24017333984375,115.10052490234375,179.46978759765625,87.00654602050781,152.4112548828125
67,config_13,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,126.48954772949219,97.7535171508789,199.09078979492188,182.07696533203125,122.69058990478516,244.19898986816406
68,config_13,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,113.88529205322266,124.48573303222656,277.7721252441406,169.55491638183594,159.9794921875,330.02154541015625
69,config_13,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,20,109.25025177001953,213.3407440185547,374.8211975097656,160.56825256347656,269.1252746582031,413.69952392578125
70,config_14,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,90.32233545630481,66.11049784616569,77.77398572228505,121.33634394313414,99.58196441634615,108.66972747067419
71,config_14,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,83.75646887095597,56.81991608263197,114.23985538498903,116.35061295323285,90.47709210690913,152.23356152526833
72,config_14,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,74.2855038117545,75.67208364869778,168.0322977784127,107.04925668046056,102.84109726888843,213.2001274140246
73,config_14,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,69.54352004197976,108.45968518002293,207.32666371166926,101.16146172559196,143.81350588289808,258.3216532262765
74,config_14,,,gbdt,0.8,0.1,6.0,200.0,16.0,0.1,0.8,,,,,,,,,0,,,,,120,10,LGB,1,120,5,63.41068056998803,169.09741672442576,213.08998010873805,91.22730991341416,224.95930396375857,254.5295555738735
75,config_15,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,10,137.687744140625,97.7583236694336,61.92692947387695,181.276123046875,118.88048553466797,85.64676666259766
76,config_15,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,10,109.947998046875,62.7318000793457,128.68655395507812,157.76080322265625,90.30558776855469,163.14102172851562
77,config_15,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,10,118.86199188232422,82.65977478027344,197.7174530029297,174.61021423339844,110.46768951416016,244.8933868408203
78,config_15,32.0,0.001,,,,,,,,,,32.0,0.001,,,,,,0,,,,,120,10,LSTM,1,120,10,121.98171997070312,113.06735229492188,268.4511413574219,176.36172485351562,149.41419982910156,317.8174133300781
